age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.19174790024482194,0.36867103760378506,0.26153603092320094
5,male,0.20688292418207335,0.4497764735163452,0.285328753016899
6,female,0.19174790024482194,0.2761051473982347,0.26153603092320094
6,male,0.20688292418207335,0.33749823925784067,0.285328753016899
7,female,0.19174790024482194,0.22056606539684936,0.26153603092320094
7,male,0.20688292418207335,0.2701313625616058,0.285328753016899
8,female,0.19174790024482194,0.21414362225504252,0.26153603092320094
8,male,0.20688292418207335,0.2544668419837588,0.285328753016899
9,female,0.19174790024482194,0.2080680067178505,0.26153603092320094
9,male,0.20688292418207335,0.24053247601451375,0.285328753016899
10,female,0.19159465699105557,0.23278843136435087,0.24704991024822084
10,male,0.24571978270348935,0.35165606643666897,0.35751199996437677
11,female,0.19159465699105557,0.22654175170352067,0.24704991024822084
11,male,0.24571978270348935,0.33308203967721034,0.35751199996437677
12,female,0.19159465699105557,0.22060714991721656,0.24704991024822084
12,male,0.24571978270348935,0.3162712616258706,0.35751199996437677
13,female,0.19159465699105557,0.2297014830887967,0.24704991024822084
13,male,0.24571978270348935,0.2465778860579321,0.35751199996437677
14,female,0.19159465699105557,0.23960462787768486,0.24704991024822084
14,male,0.24571978270348935,0.20181725467678557,0.35751199996437677
15,female,0.13005164180652512,0.12476031293644896,0.15785443758941584
15,male,0.30464323723468917,0.45125441368149544,0.4011309125702374
16,female,0.13005164180652512,0.13067944658929545,0.15785443758941584
16,male,0.30464323723468917,0.3905352389372343,0.4011309125702374
17,female,0.13005164180652512,0.13720592970990717,0.15785443758941584
17,male,0.30464323723468917,0.3439552658606165,0.4011309125702374
18,female,0.13005164180652512,0.12872900421143313,0.15785443758941584
18,male,0.30464323723468917,0.31657107105888416,0.4011309125702374
19,female,0.13005164180652512,0.12122071762290501,0.15785443758941584
19,male,0.30464323723468917,0.2930874736694317,0.4011309125702374
20,female,0.240621447521323,0.28965012744903224,0.30733751836767953
20,male,0.33090946386394393,0.4242438679826651,0.4544317352004836
21,female,0.240621447521323,0.27424445086389293,0.30733751836767953
