age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.0,0.0,0.0
5,male,0.0,0.0,0.0
6,female,0.0,0.0,0.0
6,male,0.0,0.0,0.0
7,female,0.0,0.0,0.0
7,male,0.0,0.0,0.0
8,female,0.0,0.0,0.0
8,male,0.0,0.0,0.0
9,female,0.0,0.0,0.0
9,male,0.0,0.0,0.0
10,female,0.0,0.0,0.0
10,male,0.0,0.0,0.0
11,female,0.0,0.0,0.0
11,male,0.0,0.0,0.0
12,female,0.0,0.0,0.0
12,male,0.0,0.0,0.0
13,female,0.0,0.0,0.0
13,male,0.0,0.0,0.0
14,female,0.0,0.0,0.0
14,male,0.0,0.0,0.0
15,female,0.0,0.0,0.0
15,male,0.0,0.0,0.0
16,female,0.0,0.0,0.0
16,male,0.0,0.0,0.0
17,female,0.0,0.0,0.0
17,male,0.0,0.0,0.0
18,female,0.0,0.0,0.0
18,male,0.0,0.0,0.0
19,female,0.0,0.0,0.0
19,male,0.0,0.0,0.0
20,female,0.2155124944394674,0.36557498970066415,0.26704691614868103
20,male,0.0,0.0,0.0
21,female,0.2155124944394674,0.2734197210366896,0.26704691614868103
21,male,0.0,0.0,0.0
22,female,0.2155124944394674,0.21812825656561197,0.26704691614868103
22,male,0.0,0.0,0.0
23,female,0.2155124944394674,0.22201869555771342,0.26704691614868103
23,male,0.0,0.0,0.0
24,female,0.2155124944394674,0.22607512741428673,0.26704691614868103
24,male,0.0,0.0,0.0
25,female,0.24981009667580134,0.2392860203082023,0.308983560812351
25,male,0.0,0.0,0.0
26,female,0.24981009667580134,0.24387995969249984,0.308983560812351
26,male,0.0,0.0,0.0
27,female,0.24981009667580134,0.24868290247617764,0.308983560812351
27,male,0.0,0.0,0.0
28,female,0.24981009667580134,0.10829257044197542,0.308983560812351
28,male,0.0,0.0,0.0
29,female,0.24981009667580134,0.06907843593022263,0.308983560812351
29,male,0.0,0.0,0.0
30,female,0.24599986591339942,0.36874413353721297,0.30526060242565556
30,male,0.0,0.0,0.0
31,female,0.24599986591339942,0.29133177138676714,0.30526060242565556
