age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,2.22
21,male,1,2.22
22,male,1,2.22
23,male,1,2.22
24,male,1,2.22
25,male,1,2.22
26,male,1,2.22
27,male,1,2.22
28,male,1,2.22
29,male,1,2.22
30,male,1,2.22
31,male,1,2.22
32,male,1,2.22
33,male,1,2.22
34,male,1,2.22
35,male,1,2.22
36,male,1,2.22
37,male,1,2.22
38,male,1,2.22
39,male,1,2.22
40,male,1,2.22
41,male,1,2.22
42,male,1,2.22
43,male,1,2.22
44,male,1,2.22
45,male,1,2.22
46,male,1,2.22
47,male,1,2.22
48,male,1,2.22
49,male,1,2.22
50,male,1,2.22
51,male,1,2.22
52,male,1,2.22
53,male,1,2.22
54,male,1,2.22
55,male,1,2.22
56,male,1,2.22
57,male,1,2.22
58,male,1,2.22
59,male,1,2.22
60,male,1,2.22
61,male,1,2.22
62,male,1,2.22
63,male,1,2.22
64,male,1,2.22
65,male,1,2.22
66,male,1,2.22
67,male,1,2.22
68,male,1,2.22
69,male,1,2.22
70,male,1,2.22
71,male,1,2.22
72,male,1,2.22
73,male,1,2.22
74,male,1,2.22
75,male,1,2.22
76,male,1,2.22
77,male,1,2.22
78,male,1,2.22
79,male,1,2.22
80,male,1,2.22
81,male,1,2.22
82,male,1,2.22
83,male,1,2.22
84,male,1,2.22
85,male,1,2.22
86,male,1,2.22
87,male,1,2.22
88,male,1,2.22
89,male,1,2.22
90,male,1,2.22
91,male,1,2.22
92,male,1,2.22
93,male,1,2.22
94,male,1,2.22
95,male,1,2.22
96,male,1,2.22
97,male,1,2.22
98,male,1,2.22
99,male,1,2.22
100,male,1,2.22
101,male,1,2.22
102,male,1,2.22
103,male,1,2.22
104,male,1,2.22
105,male,1,2.22
106,male,1,2.22
107,male,1,2.22
108,male,1,2.22
109,male,1,2.22
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,2.22
21,female,1,2.22
22,female,1,2.22
23,female,1,2.22
24,female,1,2.22
25,female,1,2.22
26,female,1,2.22
27,female,1,2.22
28,female,1,2.22
29,female,1,2.22
30,female,1,2.22
31,female,1,2.22
32,female,1,2.22
33,female,1,2.22
34,female,1,2.22
35,female,1,2.22
36,female,1,2.22
37,female,1,2.22
38,female,1,2.22
39,female,1,2.22
40,female,1,2.22
41,female,1,2.22
42,female,1,2.22
43,female,1,2.22
44,female,1,2.22
45,female,1,2.22
46,female,1,2.22
47,female,1,2.22
48,female,1,2.22
49,female,1,2.22
50,female,1,2.22
51,female,1,2.22
52,female,1,2.22
53,female,1,2.22
54,female,1,2.22
55,female,1,2.22
56,female,1,2.22
57,female,1,2.22
58,female,1,2.22
59,female,1,2.22
60,female,1,2.22
61,female,1,2.22
62,female,1,2.22
63,female,1,2.22
64,female,1,2.22
65,female,1,2.22
66,female,1,2.22
67,female,1,2.22
68,female,1,2.22
69,female,1,2.22
70,female,1,2.22
71,female,1,2.22
72,female,1,2.22
73,female,1,2.22
74,female,1,2.22
75,female,1,2.22
76,female,1,2.22
77,female,1,2.22
78,female,1,2.22
79,female,1,2.22
80,female,1,2.22
81,female,1,2.22
82,female,1,2.22
83,female,1,2.22
84,female,1,2.22
85,female,1,2.22
86,female,1,2.22
87,female,1,2.22
88,female,1,2.22
89,female,1,2.22
90,female,1,2.22
91,female,1,2.22
92,female,1,2.22
93,female,1,2.22
94,female,1,2.22
95,female,1,2.22
96,female,1,2.22
97,female,1,2.22
98,female,1,2.22
99,female,1,2.22
100,female,1,2.22
101,female,1,2.22
102,female,1,2.22
103,female,1,2.22
104,female,1,2.22
105,female,1,2.22
106,female,1,2.22
107,female,1,2.22
108,female,1,2.22
109,female,1,2.22
