age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,0.96
21,male,1,0.96
22,male,1,0.96
23,male,1,0.96
24,male,1,0.96
25,male,1,0.96
26,male,1,0.96
27,male,1,0.96
28,male,1,0.96
29,male,1,0.96
30,male,1,0.96
31,male,1,0.96
32,male,1,0.96
33,male,1,0.96
34,male,1,0.96
35,male,1,0.96
36,male,1,0.96
37,male,1,0.96
38,male,1,0.96
39,male,1,0.96
40,male,1,0.96
41,male,1,0.96
42,male,1,0.96
43,male,1,0.96
44,male,1,0.96
45,male,1,0.96
46,male,1,0.96
47,male,1,0.96
48,male,1,0.96
49,male,1,0.96
50,male,1,0.96
51,male,1,0.96
52,male,1,0.96
53,male,1,0.96
54,male,1,0.96
55,male,1,0.96
56,male,1,0.96
57,male,1,0.96
58,male,1,0.96
59,male,1,0.96
60,male,1,0.96
61,male,1,0.96
62,male,1,0.96
63,male,1,0.96
64,male,1,0.96
65,male,1,0.96
66,male,1,0.96
67,male,1,0.96
68,male,1,0.96
69,male,1,0.96
70,male,1,0.96
71,male,1,0.96
72,male,1,0.96
73,male,1,0.96
74,male,1,0.96
75,male,1,0.96
76,male,1,0.96
77,male,1,0.96
78,male,1,0.96
79,male,1,0.96
80,male,1,0.96
81,male,1,0.96
82,male,1,0.96
83,male,1,0.96
84,male,1,0.96
85,male,1,0.96
86,male,1,0.96
87,male,1,0.96
88,male,1,0.96
89,male,1,0.96
90,male,1,0.96
91,male,1,0.96
92,male,1,0.96
93,male,1,0.96
94,male,1,0.96
95,male,1,0.96
96,male,1,0.96
97,male,1,0.96
98,male,1,0.96
99,male,1,0.96
100,male,1,0.96
101,male,1,0.96
102,male,1,0.96
103,male,1,0.96
104,male,1,0.96
105,male,1,0.96
106,male,1,0.96
107,male,1,0.96
108,male,1,0.96
109,male,1,0.96
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,0.96
21,female,1,0.96
22,female,1,0.96
23,female,1,0.96
24,female,1,0.96
25,female,1,0.96
26,female,1,0.96
27,female,1,0.96
28,female,1,0.96
29,female,1,0.96
30,female,1,0.96
31,female,1,0.96
32,female,1,0.96
33,female,1,0.96
34,female,1,0.96
35,female,1,0.96
36,female,1,0.96
37,female,1,0.96
38,female,1,0.96
39,female,1,0.96
40,female,1,0.96
41,female,1,0.96
42,female,1,0.96
43,female,1,0.96
44,female,1,0.96
45,female,1,0.96
46,female,1,0.96
47,female,1,0.96
48,female,1,0.96
49,female,1,0.96
50,female,1,0.96
51,female,1,0.96
52,female,1,0.96
53,female,1,0.96
54,female,1,0.96
55,female,1,0.96
56,female,1,0.96
57,female,1,0.96
58,female,1,0.96
59,female,1,0.96
60,female,1,0.96
61,female,1,0.96
62,female,1,0.96
63,female,1,0.96
64,female,1,0.96
65,female,1,0.96
66,female,1,0.96
67,female,1,0.96
68,female,1,0.96
69,female,1,0.96
70,female,1,0.96
71,female,1,0.96
72,female,1,0.96
73,female,1,0.96
74,female,1,0.96
75,female,1,0.96
76,female,1,0.96
77,female,1,0.96
78,female,1,0.96
79,female,1,0.96
80,female,1,0.96
81,female,1,0.96
82,female,1,0.96
83,female,1,0.96
84,female,1,0.96
85,female,1,0.96
86,female,1,0.96
87,female,1,0.96
88,female,1,0.96
89,female,1,0.96
90,female,1,0.96
91,female,1,0.96
92,female,1,0.96
93,female,1,0.96
94,female,1,0.96
95,female,1,0.96
96,female,1,0.96
97,female,1,0.96
98,female,1,0.96
99,female,1,0.96
100,female,1,0.96
101,female,1,0.96
102,female,1,0.96
103,female,1,0.96
104,female,1,0.96
105,female,1,0.96
106,female,1,0.96
107,female,1,0.96
108,female,1,0.96
109,female,1,0.96
