age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,0.62
21,male,1,0.62
22,male,1,0.62
23,male,1,0.62
24,male,1,0.62
25,male,1,0.62
26,male,1,0.62
27,male,1,0.62
28,male,1,0.62
29,male,1,0.62
30,male,1,0.62
31,male,1,0.62
32,male,1,0.62
33,male,1,0.62
34,male,1,0.62
35,male,1,0.62
36,male,1,0.62
37,male,1,0.62
38,male,1,0.62
39,male,1,0.62
40,male,1,0.62
41,male,1,0.62
42,male,1,0.62
43,male,1,0.62
44,male,1,0.62
45,male,1,0.62
46,male,1,0.62
47,male,1,0.62
48,male,1,0.62
49,male,1,0.62
50,male,1,0.62
51,male,1,0.62
52,male,1,0.62
53,male,1,0.62
54,male,1,0.62
55,male,1,0.62
56,male,1,0.62
57,male,1,0.62
58,male,1,0.62
59,male,1,0.62
60,male,1,0.62
61,male,1,0.62
62,male,1,0.62
63,male,1,0.62
64,male,1,0.62
65,male,1,0.62
66,male,1,0.62
67,male,1,0.62
68,male,1,0.62
69,male,1,0.62
70,male,1,0.62
71,male,1,0.62
72,male,1,0.62
73,male,1,0.62
74,male,1,0.62
75,male,1,0.62
76,male,1,0.62
77,male,1,0.62
78,male,1,0.62
79,male,1,0.62
80,male,1,0.62
81,male,1,0.62
82,male,1,0.62
83,male,1,0.62
84,male,1,0.62
85,male,1,0.62
86,male,1,0.62
87,male,1,0.62
88,male,1,0.62
89,male,1,0.62
90,male,1,0.62
91,male,1,0.62
92,male,1,0.62
93,male,1,0.62
94,male,1,0.62
95,male,1,0.62
96,male,1,0.62
97,male,1,0.62
98,male,1,0.62
99,male,1,0.62
100,male,1,0.62
101,male,1,0.62
102,male,1,0.62
103,male,1,0.62
104,male,1,0.62
105,male,1,0.62
106,male,1,0.62
107,male,1,0.62
108,male,1,0.62
109,male,1,0.62
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,0.62
21,female,1,0.62
22,female,1,0.62
23,female,1,0.62
24,female,1,0.62
25,female,1,0.62
26,female,1,0.62
27,female,1,0.62
28,female,1,0.62
29,female,1,0.62
30,female,1,0.62
31,female,1,0.62
32,female,1,0.62
33,female,1,0.62
34,female,1,0.62
35,female,1,0.62
36,female,1,0.62
37,female,1,0.62
38,female,1,0.62
39,female,1,0.62
40,female,1,0.62
41,female,1,0.62
42,female,1,0.62
43,female,1,0.62
44,female,1,0.62
45,female,1,0.62
46,female,1,0.62
47,female,1,0.62
48,female,1,0.62
49,female,1,0.62
50,female,1,0.62
51,female,1,0.62
52,female,1,0.62
53,female,1,0.62
54,female,1,0.62
55,female,1,0.62
56,female,1,0.62
57,female,1,0.62
58,female,1,0.62
59,female,1,0.62
60,female,1,0.62
61,female,1,0.62
62,female,1,0.62
63,female,1,0.62
64,female,1,0.62
65,female,1,0.62
66,female,1,0.62
67,female,1,0.62
68,female,1,0.62
69,female,1,0.62
70,female,1,0.62
71,female,1,0.62
72,female,1,0.62
73,female,1,0.62
74,female,1,0.62
75,female,1,0.62
76,female,1,0.62
77,female,1,0.62
78,female,1,0.62
79,female,1,0.62
80,female,1,0.62
81,female,1,0.62
82,female,1,0.62
83,female,1,0.62
84,female,1,0.62
85,female,1,0.62
86,female,1,0.62
87,female,1,0.62
88,female,1,0.62
89,female,1,0.62
90,female,1,0.62
91,female,1,0.62
92,female,1,0.62
93,female,1,0.62
94,female,1,0.62
95,female,1,0.62
96,female,1,0.62
97,female,1,0.62
98,female,1,0.62
99,female,1,0.62
100,female,1,0.62
101,female,1,0.62
102,female,1,0.62
103,female,1,0.62
104,female,1,0.62
105,female,1,0.62
106,female,1,0.62
107,female,1,0.62
108,female,1,0.62
109,female,1,0.62
