age,sex,n,s
0,male,1,1
1,male,1,1
2,male,1,1
3,male,1,1
4,male,1,1
5,male,1,1
6,male,1,1
7,male,1,1
8,male,1,1
9,male,1,1
10,male,1,1
11,male,1,1
12,male,1,1
13,male,1,1
14,male,1,1
15,male,1,1
16,male,1,1
17,male,1,1
18,male,1,1
19,male,1,1
20,male,1,2.3
21,male,1,2.3
22,male,1,2.3
23,male,1,2.3
24,male,1,2.3
25,male,1,2.3
26,male,1,2.3
27,male,1,2.3
28,male,1,2.3
29,male,1,2.3
30,male,1,2.3
31,male,1,2.3
32,male,1,2.3
33,male,1,2.3
34,male,1,2.3
35,male,1,2.3
36,male,1,2.3
37,male,1,2.3
38,male,1,2.3
39,male,1,2.3
40,male,1,2.3
41,male,1,2.3
42,male,1,2.3
43,male,1,2.3
44,male,1,2.3
45,male,1,2.3
46,male,1,2.3
47,male,1,2.3
48,male,1,2.3
49,male,1,2.3
50,male,1,2.3
51,male,1,2.3
52,male,1,2.3
53,male,1,2.3
54,male,1,2.3
55,male,1,2.3
56,male,1,2.3
57,male,1,2.3
58,male,1,2.3
59,male,1,2.3
60,male,1,2.3
61,male,1,2.3
62,male,1,2.3
63,male,1,2.3
64,male,1,2.3
65,male,1,2.3
66,male,1,2.3
67,male,1,2.3
68,male,1,2.3
69,male,1,2.3
70,male,1,2.3
71,male,1,2.3
72,male,1,2.3
73,male,1,2.3
74,male,1,2.3
75,male,1,2.3
76,male,1,2.3
77,male,1,2.3
78,male,1,2.3
79,male,1,2.3
80,male,1,2.3
81,male,1,2.3
82,male,1,2.3
83,male,1,2.3
84,male,1,2.3
85,male,1,2.3
86,male,1,2.3
87,male,1,2.3
88,male,1,2.3
89,male,1,2.3
90,male,1,2.3
91,male,1,2.3
92,male,1,2.3
93,male,1,2.3
94,male,1,2.3
95,male,1,2.3
96,male,1,2.3
97,male,1,2.3
98,male,1,2.3
99,male,1,2.3
100,male,1,2.3
101,male,1,2.3
102,male,1,2.3
103,male,1,2.3
104,male,1,2.3
105,male,1,2.3
106,male,1,2.3
107,male,1,2.3
108,male,1,2.3
109,male,1,2.3
0,female,1,1
1,female,1,1
2,female,1,1
3,female,1,1
4,female,1,1
5,female,1,1
6,female,1,1
7,female,1,1
8,female,1,1
9,female,1,1
10,female,1,1
11,female,1,1
12,female,1,1
13,female,1,1
14,female,1,1
15,female,1,1
16,female,1,1
17,female,1,1
18,female,1,1
19,female,1,1
20,female,1,2.3
21,female,1,2.3
22,female,1,2.3
23,female,1,2.3
24,female,1,2.3
25,female,1,2.3
26,female,1,2.3
27,female,1,2.3
28,female,1,2.3
29,female,1,2.3
30,female,1,2.3
31,female,1,2.3
32,female,1,2.3
33,female,1,2.3
34,female,1,2.3
35,female,1,2.3
36,female,1,2.3
37,female,1,2.3
38,female,1,2.3
39,female,1,2.3
40,female,1,2.3
41,female,1,2.3
42,female,1,2.3
43,female,1,2.3
44,female,1,2.3
45,female,1,2.3
46,female,1,2.3
47,female,1,2.3
48,female,1,2.3
49,female,1,2.3
50,female,1,2.3
51,female,1,2.3
52,female,1,2.3
53,female,1,2.3
54,female,1,2.3
55,female,1,2.3
56,female,1,2.3
57,female,1,2.3
58,female,1,2.3
59,female,1,2.3
60,female,1,2.3
61,female,1,2.3
62,female,1,2.3
63,female,1,2.3
64,female,1,2.3
65,female,1,2.3
66,female,1,2.3
67,female,1,2.3
68,female,1,2.3
69,female,1,2.3
70,female,1,2.3
71,female,1,2.3
72,female,1,2.3
73,female,1,2.3
74,female,1,2.3
75,female,1,2.3
76,female,1,2.3
77,female,1,2.3
78,female,1,2.3
79,female,1,2.3
80,female,1,2.3
81,female,1,2.3
82,female,1,2.3
83,female,1,2.3
84,female,1,2.3
85,female,1,2.3
86,female,1,2.3
87,female,1,2.3
88,female,1,2.3
89,female,1,2.3
90,female,1,2.3
91,female,1,2.3
92,female,1,2.3
93,female,1,2.3
94,female,1,2.3
95,female,1,2.3
96,female,1,2.3
97,female,1,2.3
98,female,1,2.3
99,female,1,2.3
100,female,1,2.3
101,female,1,2.3
102,female,1,2.3
103,female,1,2.3
104,female,1,2.3
105,female,1,2.3
106,female,1,2.3
107,female,1,2.3
108,female,1,2.3
109,female,1,2.3
