age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,0.024192708269351913,0.0,0.10886683428368597,0.0,-0.07257819738625312,0.0,0.0,0.0,0.0,0.0,0.0
0,male,0.0,0.0,0.0,0.024192708507251425,0.0,0.10886683521506935,0.0,-0.07257819809995238,0.0,0.0,0.0,0.0,0.0,0.0
1,female,0.0,0.0,0.0,0.02419300256837578,0.0,0.10183870159519665,0.0,-0.07257908028420762,0.0,0.0,0.0,0.0,0.0,0.0
1,male,0.0,0.0,0.0,0.024193054147524068,0.0,0.10148262611323779,0.0,-0.07257923502180723,0.0,0.0,0.0,0.0,0.0,0.0
2,female,0.0,0.0,0.0,0.024193296867399596,0.0,0.09481056890670737,0.0,-0.07257996318216198,0.0,0.0,0.0,0.0,0.0,0.0
2,male,0.0,0.0,0.0,0.024193399787796766,0.0,0.09409841701140625,0.0,-0.07258027194366225,0.0,0.0,0.0,0.0,0.0,0.0
3,female,0.0,0.0,0.0,0.02419359116642349,0.0,0.08778243621821828,0.0,-0.07258084608011656,0.0,0.0,0.0,0.0,0.0,0.0
3,male,0.0,0.0,0.0,0.024193745428069378,0.0,0.08671420790957485,0.0,-0.072581308865517,0.0,0.0,0.0,0.0,0.0,0.0
4,female,0.0,0.0,0.0,0.02419388546544733,0.0,0.08075430352972908,0.0,-0.07258172897807097,0.0,0.0,0.0,0.0,0.0,0.0
4,male,0.0,0.0,0.0,0.024194091068342027,0.0,0.07932999880774333,0.0,-0.07258234578737187,0.0,0.0,0.0,0.0,0.0,0.0
5,female,0.0,0.0,0.0,0.024194179764471208,0.0,0.07372617084123972,0.0,-0.07258261187602551,0.0,0.0,0.0,0.0,0.0,0.0
5,male,0.0,0.0,0.0,0.024194436708614698,0.0,0.07194578970591181,0.0,-0.0725833827092268,0.0,0.0,0.0,0.0,0.0,0.0
6,female,0.0,0.0,0.0,0.024194474063495043,0.0,0.06669803815275063,0.0,-0.0725834947739799,0.0,0.0,0.0,0.0,0.0,0.0
6,male,0.0,0.0,0.0,0.02419478234888733,0.0,0.06456158060408022,0.0,-0.07258441963108163,0.0,0.0,0.0,0.0,0.0,0.0
7,female,0.0,0.0,0.0,0.0241947683625189,0.0,0.05966990546426139,0.0,-0.07258437767193437,0.0,0.0,0.0,0.0,0.0,0.0
7,male,0.0,0.0,0.0,0.024195127989159976,0.0,0.0571773715022487,0.0,-0.07258545655293648,0.0,0.0,0.0,0.0,0.0,0.0
8,female,0.0,0.0,0.0,0.024195062661542775,0.0,0.04865393292175223,0.0,-0.10127233546391556,0.0,0.0,0.0,0.0,0.0,0.0
8,male,0.0,0.0,0.0,0.02419547362943266,0.0,0.04479290851229193,0.0,-0.08304507016700863,0.0,0.0,0.0,0.0,0.0,0.0
9,female,0.0,0.0,0.0,0.01788805742256816,0.0,0.04026619651783081,0.0,-0.10978042696554995,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.0,0.0,0.0,0.02766266902658233,0.0,0.035663796508596614,0.0,-0.08213566982239984,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.0,0.0,0.0,-0.0019738290244590666,0.0,0.03188031603728342,0.0,-0.1182140083928214,0.0,0.0,0.0,0.0,0.0,0.0
10,male,0.0,0.0,0.0,0.02607479597270764,0.0,0.026537744491756395,0.0,-0.08122543182095115,0.0,0.0,0.0,0.0,0.0,0.0
11,female,0.0,0.0,0.0,0.0005794164896759518,0.0,0.024820519851722095,0.0,-0.11571623076962544,0.0,0.0,0.0,0.0,0.0,0.0
11,male,0.0,0.0,0.0,0.02624761781504234,0.0,0.019384574378212102,0.0,-0.07952485499660583,0.0,0.0,0.0,0.0,0.0,0.0
