age,sex,prev,disability_rate,i,i_apc,f,f_apc,r,r_apc,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.00031740693243953797,0.08434852355628165,0.0,-0.0018229755023946987,0.0,0.006419049931951878,0.18668822641073227,-0.010457698444941429,0.0,0.0,0.0,751.3032383284853,383.31797874360984,290.79492322620695
0,male,0.0003044632969130401,0.06706726024338504,0.0,0.0019160264403005108,0.0,-0.02103897046122093,0.1794914757789405,-0.017672659557153157,0.0,0.0,0.0,2645.9102517729025,1349.954209670832,569.9481038203768
1,female,0.00035070348099314994,0.08434433307987994,0.00014799835506533034,-0.0009580513243099286,0.0011582846771385543,0.007280420298730796,0.1337572255046778,-0.005467124174511782,0.0,0.0,0.0,705.9669411114733,360.1872148502125,327.14428862948284
1,male,0.00033632464759821115,0.06707079053258731,0.00014315947304860532,0.0030149243513821608,0.002221720734471787,-0.019156929705675244,0.1336867558679774,-0.008799754052262859,0.0,0.0,0.0,2263.70725971346,1154.952683208218,641.1916167979239
2,female,0.0003719813096727437,0.08434215637370464,0.00014989425333822385,-9.301323109382666e-05,0.001166057518570569,0.008144799944594192,0.09585809533615736,-0.0004330316992061222,0.0,0.0,0.0,678.765162781266,346.30875651417415,348.95390787144834
2,male,0.0003566981317761818,0.06707262512542941,0.00014543461578574052,0.004113945298446438,0.0022416773506732965,-0.017267440245089107,0.09964156913711046,0.0001977287900185639,0.0,0.0,0.0,2034.3854644777953,1037.9517673306498,683.9377245844521
3,female,0.0005881218662755095,0.08375491158612576,0.000153572154868828,0.0007721388157581333,0.0009575475263463788,0.009012194101880725,0.06871454868751536,0.004644867045093575,0.0,0.0,0.0,487.12457007471414,248.53294389489307,372.7994159097631
3,male,0.0005635771682354298,0.06620499880648267,0.00014940575921420588,0.00521308932468579,0.001747859241948218,-0.015370481430127191,0.0743167957343668,0.009321184855670028,0.0,0.0,0.0,946.6989438891808,483.0096652207552,724.5144978193337
4,female,0.0007313760071670904,0.08339511546104836,0.0001561620231140129,0.0016374048547637015,0.0007052450459454623,0.009882608012014262,0.04926905314508797,0.009766862029300796,0.0,0.0,0.0,404.2910906889914,206.27096461976544,309.4064469802158
4,male,0.000700784295471503,0.06566328851884796,0.00015251365857217423,0.006312356473294774,0.0011521907539894976,-0.013466032554112443,0.05546450919101246,0.018572025671508972,0.0,0.0,0.0,776.2996042432269,396.07122662113346,594.1068399081021
5,female,0.0008766818827968286,0.08315022472877394,0.00015771499435399353,0.0025027849244571554,0.0005311463523889737,0.01075604692554402,0.03533480633875517,0.014933245143778558,0.0,0.0,0.0,321.4576113032686,164.0089853446378,246.01347805066848
5,male,0.0008399731165255233,0.06529448106653822,0.00015472095693177688,0.007411746787495705,0.0007462092257914844,-0.01155407285302025,0.04142032601096732,0.027951678580534742,0.0,0.0,0.0,605.9002645972728,309.13278802151183,463.6991819968704
6,female,0.0010240617703361939,0.08297277400911854,0.0001592778484370275,0.0033682790633875626,0.0004090731593656349,0.0116325161021438,0.02534729788476285,0.020144310211034255,0.0,0.0,0.0,238.62413191754584,121.74700606951018,182.62050912112116
6,male,0.0009811651290917676,0.06502718864396617,0.00015694754122127694,0.008511260310515557,0.00046257451611882096,-0.009634581505263948,0.030950744783054818,0.03746158691905671,0.0,0.0,0.0,435.50092495131895,222.19434942189017,333.29152408563874
7,female,0.0011735370729522164,0.08283827669044706,0.00016085061891488094,0.004233887310106292,0.0003189475909529953,0.012512020810627217,0.018186898707407206,0.02540035299845851,0.0,0.0,0.0,155.79065253182299,79.48502679438256,119.22754019157382
7,male,0.0011243807316376486,0.06482456844226263,0.00015919349638166542,0.009610897085610848,0.0002540766356874477,-0.007707537631478515,0.023140766829226098,0.04710321019587111,0.0,0.0,0.0,265.1015853053649,135.25591082226848,202.88386617440716
8,female,0.001343438343358018,0.08193441759567209,0.0001624354596362822,0.00509960970318672,0.0002610763047579293,0.013394566328977647,0.013052127849261786,0.03070167123129353,0.0,0.0,0.0,159.81980240057993,81.54071550190002,122.31107325453563
8,male,0.0012878463320641436,0.06508226365588275,0.0001614673735996497,0.010710657156040082,0.00018072086478701884,-0.0057729202945155985,0.01731106810486367,0.05687802427365647,0.0,0.0,0.0,279.60268885797484,142.65443305736693,213.98164953885396
9,female,0.0015157231403422442,0.08122441872214069,0.0001640282064410097,0.005965446281220524,0.00022171827388971048,0.014280157944351588,0.009369090576089811,0.036048564605490066,0.0,0.0,0.0,163.84895226933688,83.5964042094175,125.39460631749742
9,male,0.0014536205689821486,0.06528451886095969,0.00016376229980745528,0.01181054056507043,0.00016668048563758827,-0.003830708499071607,0.012956880716762683,0.06678752155201469,0.0,0.0,0.0,294.1037924105848,150.0529552924654,225.07943290330076
10,female,0.0016903602055091034,0.08065195184631999,0.00016563097103835243,0.006831397082796737,0.0001904452560344199,0.015168800953102832,0.006726743113027964,0.04144133480088697,0.0,0.0,0.0,167.87810213809382,85.65209291693496,128.47813938045923
10,male,0.0016216683177073601,0.06544748733710817,0.00016607704263157434,0.012910547356010795,0.00015534492227058005,-0.001880881191753154,0.009702844284860922,0.07683321115291761,0.0,0.0,0.0,308.6048959631948,157.45147752756387,236.1772162677476
11,female,0.001850579999679804,0.08018058418008933,0.00016704967968319027,0.007112512317590607,0.00016441732936001526,0.014168189762646364,0.0069572785101392285,0.03813324912984443,0.0,0.0,0.0,171.90725200685077,87.70778162445244,131.561672443421
11,male,0.0017753794831525348,0.06558160254773282,0.0001680825339621828,0.013019268625175407,0.00014493532735020958,-0.0034514104810247134,0.009907085343005906,0.07255230275095062,0.0,0.0,0.0,323.10599951580474,164.84999976266235,247.27499963219444
12,female,0.002010185289452859,0.07978570710434052,0.00016847513886521746,0.007393688446847619,0.00014293031656441657,0.0131675955805444,0.007196805186147633,0.03482796594454468,0.0,0.0,0.0,175.93640187560771,89.76347033196991,134.6452055063828
12,male,0.0019284243376358004,0.06569390395634962,0.0001700999558877365,0.0131283981869069,0.00013610008993551498,-0.0050213514512474555,0.010119392106685606,0.06827513072711625,0.0,0.0,0.0,337.6071030684147,172.2485219977608,258.3727829966412
13,female,0.0022042389870934394,0.07933187001459215,0.00018348115432142745,0.007674925455536004,0.00013058128983314425,0.012167018404559395,0.007445674531892471,0.03152548069012106,0.0,0.0,0.0,188.97853147551885,96.41761809149858,144.6264271338767
13,male,0.00211194269812247,0.06508339725341074,0.00018466853971408828,0.013237935780590617,0.0001519687008478411,-0.006590704554549938,0.010339936392411429,0.06400168822377497,0.0,0.0,0.0,386.94050255350345,197.4186237572914,296.1279356696489
14,female,0.002397548044726569,0.07895279546240402,0.00020539607759185655,0.007956223328637563,0.00012269857807951223,0.011166458232521527,0.007704252267439438,0.02822578881914067,0.0,0.0,0.0,202.02066107543004,103.07176585102728,154.60764876137063
14,male,0.002294664978881643,0.06457251843866559,0.00020565879607132946,0.013347881145788004,0.00017607084276082156,-0.00815947024254392,0.01056890166145288,0.05973196839582787,0.0,0.0,0.0,436.2739020385921,222.58872551682202,333.88308834265655
15,female,0.0025901140708880707,0.07863141536514426,0.00022751867840466232,0.008237582051142089,0.0001159087438752212,0.01016591506220169,0.007972919009862548,0.024928885791636195,0.0,0.0,0.0,215.06279067534118,109.72591361055596,164.5888703888645
15,male,0.0024765931869419017,0.06413872002064051,0.0002269381207285308,0.013458234022203712,0.0001951751761195406,-0.009727648966670069,0.010806482864970548,0.05546596441106748,0.0,0.0,0.0,485.6073015236808,247.75882727635263,371.63824101566416
16,female,0.002781938759054471,0.0783554896918969,0.00025144627921924116,0.009036579372716765,0.00011219647229565322,0.010236931018854792,0.008105190440464639,0.020082032228116175,0.0,0.0,0.0,228.1049202752523,116.38006137008465,174.57009201635842
