age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0
21,male,0
22,male,0
23,male,0
24,male,0
25,male,0
26,male,0
27,male,0
28,male,0
29,male,0
30,male,0
31,male,0
32,male,0
33,male,0
34,male,0
35,male,0
36,male,0
37,male,0
38,male,0
39,male,0
40,male,0
41,male,0
42,male,0
43,male,0
44,male,0
45,male,0
46,male,0
47,male,0
48,male,0
49,male,0
50,male,0
51,male,0
52,male,0
53,male,0
54,male,0
55,male,0
56,male,0
57,male,0
58,male,0
59,male,0
60,male,0
61,male,0
62,male,0
63,male,0
64,male,0
65,male,0
66,male,0
67,male,0
68,male,0
69,male,0
70,male,0
71,male,0
72,male,0
73,male,0
74,male,0
75,male,0
76,male,0
77,male,0
78,male,0
79,male,0
80,male,0
81,male,0
82,male,0
83,male,0
84,male,0
85,male,0
86,male,0
87,male,0
88,male,0
89,male,0
90,male,0
91,male,0
92,male,0
93,male,0
94,male,0
95,male,0
96,male,0
97,male,0
98,male,0
99,male,0
100,male,0
101,male,0
102,male,0
103,male,0
104,male,0
105,male,0
106,male,0
107,male,0
108,male,0
109,male,0
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.163665745
21,female,0.163665745
22,female,0.163665745
23,female,0.163665745
24,female,0.163665745
25,female,0.163665745
26,female,0.163665745
27,female,0.163665745
28,female,0.163665745
29,female,0.163665745
30,female,0.163665745
31,female,0.163665745
32,female,0.163665745
33,female,0.163665745
34,female,0.163665745
35,female,0.163665745
36,female,0.163665745
37,female,0.163665745
38,female,0.163665745
39,female,0.163665745
40,female,0.163665745
41,female,0.163665745
42,female,0.163665745
43,female,0.163665745
44,female,0.163665745
45,female,0.163665745
46,female,0.163665745
47,female,0.163665745
48,female,0.163665745
49,female,0.163665745
50,female,0.163665745
51,female,0.163665745
52,female,0.163665745
53,female,0.163665745
54,female,0.163665745
55,female,0.163665745
56,female,0.163665745
57,female,0.163665745
58,female,0.163665745
59,female,0.163665745
60,female,0.163665745
61,female,0.163665745
62,female,0.163665745
63,female,0.163665745
64,female,0.163665745
65,female,0.163665745
66,female,0.163665745
67,female,0.163665745
68,female,0.163665745
69,female,0.163665745
70,female,0.163665745
71,female,0.163665745
72,female,0.163665745
73,female,0.163665745
74,female,0.163665745
75,female,0.163665745
76,female,0.163665745
77,female,0.163665745
78,female,0.163665745
79,female,0.163665745
80,female,0.163665745
81,female,0.163665745
82,female,0.163665745
83,female,0.163665745
84,female,0.163665745
85,female,0.163665745
86,female,0.163665745
87,female,0.163665745
88,female,0.163665745
89,female,0.163665745
90,female,0.163665745
91,female,0.163665745
92,female,0.163665745
93,female,0.163665745
94,female,0.163665745
95,female,0.163665745
96,female,0.163665745
97,female,0.163665745
98,female,0.163665745
99,female,0.163665745
100,female,0.163665745
101,female,0.163665745
102,female,0.163665745
103,female,0.163665745
104,female,0.163665745
105,female,0.163665745
106,female,0.163665745
107,female,0.163665745
108,female,0.163665745
109,female,0.163665745
