age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.138729145
21,male,0.138729145
22,male,0.138729145
23,male,0.138729145
24,male,0.138729145
25,male,0.138729145
26,male,0.138729145
27,male,0.138729145
28,male,0.138729145
29,male,0.138729145
30,male,0.138729145
31,male,0.138729145
32,male,0.138729145
33,male,0.138729145
34,male,0.138729145
35,male,0.138729145
36,male,0.138729145
37,male,0.138729145
38,male,0.138729145
39,male,0.138729145
40,male,0.138729145
41,male,0.138729145
42,male,0.138729145
43,male,0.138729145
44,male,0.138729145
45,male,0.138729145
46,male,0.138729145
47,male,0.138729145
48,male,0.138729145
49,male,0.138729145
50,male,0.138729145
51,male,0.138729145
52,male,0.138729145
53,male,0.138729145
54,male,0.138729145
55,male,0.138729145
56,male,0.138729145
57,male,0.138729145
58,male,0.138729145
59,male,0.138729145
60,male,0.138729145
61,male,0.138729145
62,male,0.138729145
63,male,0.138729145
64,male,0.138729145
65,male,0.138729145
66,male,0.138729145
67,male,0.138729145
68,male,0.138729145
69,male,0.138729145
70,male,0.138729145
71,male,0.138729145
72,male,0.138729145
73,male,0.138729145
74,male,0.138729145
75,male,0.138729145
76,male,0.138729145
77,male,0.138729145
78,male,0.138729145
79,male,0.138729145
80,male,0.138729145
81,male,0.138729145
82,male,0.138729145
83,male,0.138729145
84,male,0.138729145
85,male,0.138729145
86,male,0.138729145
87,male,0.138729145
88,male,0.138729145
89,male,0.138729145
90,male,0.138729145
91,male,0.138729145
92,male,0.138729145
93,male,0.138729145
94,male,0.138729145
95,male,0.138729145
96,male,0.138729145
97,male,0.138729145
98,male,0.138729145
99,male,0.138729145
100,male,0.138729145
101,male,0.138729145
102,male,0.138729145
103,male,0.138729145
104,male,0.138729145
105,male,0.138729145
106,male,0.138729145
107,male,0.138729145
108,male,0.138729145
109,male,0.138729145
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.255433309
21,female,0.255433309
22,female,0.255433309
23,female,0.255433309
24,female,0.255433309
25,female,0.255433309
26,female,0.255433309
27,female,0.255433309
28,female,0.255433309
29,female,0.255433309
30,female,0.255433309
31,female,0.255433309
32,female,0.255433309
33,female,0.255433309
34,female,0.255433309
35,female,0.255433309
36,female,0.255433309
37,female,0.255433309
38,female,0.255433309
39,female,0.255433309
40,female,0.255433309
41,female,0.255433309
42,female,0.255433309
43,female,0.255433309
44,female,0.255433309
45,female,0.255433309
46,female,0.255433309
47,female,0.255433309
48,female,0.255433309
49,female,0.255433309
50,female,0.255433309
51,female,0.255433309
52,female,0.255433309
53,female,0.255433309
54,female,0.255433309
55,female,0.255433309
56,female,0.255433309
57,female,0.255433309
58,female,0.255433309
59,female,0.255433309
60,female,0.255433309
61,female,0.255433309
62,female,0.255433309
63,female,0.255433309
64,female,0.255433309
65,female,0.255433309
66,female,0.255433309
67,female,0.255433309
68,female,0.255433309
69,female,0.255433309
70,female,0.255433309
71,female,0.255433309
72,female,0.255433309
73,female,0.255433309
74,female,0.255433309
75,female,0.255433309
76,female,0.255433309
77,female,0.255433309
78,female,0.255433309
79,female,0.255433309
80,female,0.255433309
81,female,0.255433309
82,female,0.255433309
83,female,0.255433309
84,female,0.255433309
85,female,0.255433309
86,female,0.255433309
87,female,0.255433309
88,female,0.255433309
89,female,0.255433309
90,female,0.255433309
91,female,0.255433309
92,female,0.255433309
93,female,0.255433309
94,female,0.255433309
95,female,0.255433309
96,female,0.255433309
97,female,0.255433309
98,female,0.255433309
99,female,0.255433309
100,female,0.255433309
101,female,0.255433309
102,female,0.255433309
103,female,0.255433309
104,female,0.255433309
105,female,0.255433309
106,female,0.255433309
107,female,0.255433309
108,female,0.255433309
109,female,0.255433309
