age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.510204082
21,male,0.510204082
22,male,0.510204082
23,male,0.510204082
24,male,0.510204082
25,male,0.510204082
26,male,0.510204082
27,male,0.510204082
28,male,0.510204082
29,male,0.510204082
30,male,0.510204082
31,male,0.510204082
32,male,0.510204082
33,male,0.510204082
34,male,0.510204082
35,male,0.510204082
36,male,0.510204082
37,male,0.510204082
38,male,0.510204082
39,male,0.510204082
40,male,0.510204082
41,male,0.510204082
42,male,0.510204082
43,male,0.510204082
44,male,0.510204082
45,male,0.510204082
46,male,0.510204082
47,male,0.510204082
48,male,0.510204082
49,male,0.510204082
50,male,0.510204082
51,male,0.510204082
52,male,0.510204082
53,male,0.510204082
54,male,0.510204082
55,male,0.510204082
56,male,0.510204082
57,male,0.510204082
58,male,0.510204082
59,male,0.510204082
60,male,0.510204082
61,male,0.510204082
62,male,0.510204082
63,male,0.510204082
64,male,0.510204082
65,male,0.510204082
66,male,0.510204082
67,male,0.510204082
68,male,0.510204082
69,male,0.510204082
70,male,0.510204082
71,male,0.510204082
72,male,0.510204082
73,male,0.510204082
74,male,0.510204082
75,male,0.510204082
76,male,0.510204082
77,male,0.510204082
78,male,0.510204082
79,male,0.510204082
80,male,0.510204082
81,male,0.510204082
82,male,0.510204082
83,male,0.510204082
84,male,0.510204082
85,male,0.510204082
86,male,0.510204082
87,male,0.510204082
88,male,0.510204082
89,male,0.510204082
90,male,0.510204082
91,male,0.510204082
92,male,0.510204082
93,male,0.510204082
94,male,0.510204082
95,male,0.510204082
96,male,0.510204082
97,male,0.510204082
98,male,0.510204082
99,male,0.510204082
100,male,0.510204082
101,male,0.510204082
102,male,0.510204082
103,male,0.510204082
104,male,0.510204082
105,male,0.510204082
106,male,0.510204082
107,male,0.510204082
108,male,0.510204082
109,male,0.510204082
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.510204082
21,female,0.510204082
22,female,0.510204082
23,female,0.510204082
24,female,0.510204082
25,female,0.510204082
26,female,0.510204082
27,female,0.510204082
28,female,0.510204082
29,female,0.510204082
30,female,0.510204082
31,female,0.510204082
32,female,0.510204082
33,female,0.510204082
34,female,0.510204082
35,female,0.510204082
36,female,0.510204082
37,female,0.510204082
38,female,0.510204082
39,female,0.510204082
40,female,0.510204082
41,female,0.510204082
42,female,0.510204082
43,female,0.510204082
44,female,0.510204082
45,female,0.510204082
46,female,0.510204082
47,female,0.510204082
48,female,0.510204082
49,female,0.510204082
50,female,0.510204082
51,female,0.510204082
52,female,0.510204082
53,female,0.510204082
54,female,0.510204082
55,female,0.510204082
56,female,0.510204082
57,female,0.510204082
58,female,0.510204082
59,female,0.510204082
60,female,0.510204082
61,female,0.510204082
62,female,0.510204082
63,female,0.510204082
64,female,0.510204082
65,female,0.510204082
66,female,0.510204082
67,female,0.510204082
68,female,0.510204082
69,female,0.510204082
70,female,0.510204082
71,female,0.510204082
72,female,0.510204082
73,female,0.510204082
74,female,0.510204082
75,female,0.510204082
76,female,0.510204082
77,female,0.510204082
78,female,0.510204082
79,female,0.510204082
80,female,0.510204082
81,female,0.510204082
82,female,0.510204082
83,female,0.510204082
84,female,0.510204082
85,female,0.510204082
86,female,0.510204082
87,female,0.510204082
88,female,0.510204082
89,female,0.510204082
90,female,0.510204082
91,female,0.510204082
92,female,0.510204082
93,female,0.510204082
94,female,0.510204082
95,female,0.510204082
96,female,0.510204082
97,female,0.510204082
98,female,0.510204082
99,female,0.510204082
100,female,0.510204082
101,female,0.510204082
102,female,0.510204082
103,female,0.510204082
104,female,0.510204082
105,female,0.510204082
106,female,0.510204082
107,female,0.510204082
108,female,0.510204082
109,female,0.510204082
