age,sex,s,n
0,female,0,1
0,male,0,1
1,female,0,1
1,male,0,1
2,female,0,1
2,male,0,1
3,female,0,1
3,male,0,1
4,female,0,1
4,male,0,1
5,female,0,1
5,male,0,1
6,female,0,1
6,male,0,1
7,female,0,1
7,male,0,1
8,female,0,1
8,male,0,1
9,female,0,1
9,male,0,1
10,female,0,1
10,male,0,1
11,female,0,1
11,male,0,1
12,female,0,1
12,male,0,1
13,female,0,1
13,male,0,1
14,female,0,1
14,male,0,1
15,female,0.018176967,0.981823033
15,male,0.017901858,0.982098142
16,female,0.029737858,0.970262142
16,male,0.029802469,0.970197531
17,female,0.048290043,0.951709957
17,male,0.049217777,0.950782223
18,female,0.070459873,0.929540127
18,male,0.074692419,0.925307581
19,female,0.101719964,0.898280036
19,male,0.111802021,0.888197979
20,female,0.114294726,0.885705274
20,male,0.127328972,0.872671028
21,female,0.128202138,0.871797862
21,male,0.144661082,0.855338918
22,female,0.131819551,0.868180449
22,male,0.150688688,0.849311312
23,female,0.135523168,0.864476832
23,male,0.15692137,0.84307863
24,female,0.132112042,0.867887958
24,male,0.156489583,0.843510417
25,female,0.128773985,0.871226015
25,male,0.156058764,0.843941236
26,female,0.128031974,0.871968026
26,male,0.15976915,0.84023085
27,female,0.127293614,0.872706386
27,male,0.163550656,0.836449344
28,female,0.126307178,0.873692822
28,male,0.164321482,0.835678518
29,female,0.125327288,0.874672712
29,male,0.165095223,0.834904777
30,female,0.12291018,0.87708982
30,male,0.160198673,0.839801327
31,female,0.120533265,0.879466735
31,male,0.155420316,0.844579684
32,female,0.118845993,0.881154007
32,male,0.152638577,0.847361423
33,female,0.117179192,0.882820808
33,male,0.14989779,0.85010221
34,female,0.11477202,0.88522798
34,male,0.14584846,0.85415154
35,female,0.112408002,0.887591998
35,male,0.141890261,0.858109739
36,female,0.108676137,0.891323863
36,male,0.135457806,0.864542194
37,female,0.105053503,0.894946497
37,male,0.12927303,0.87072697
38,female,0.105134588,0.894865412
38,male,0.127432075,0.872567925
39,female,0.105215727,0.894784273
39,male,0.125613554,0.874386446
40,female,0.105296922,0.894703078
40,male,0.123817302,0.876182698
41,female,0.107854945,0.892145055
41,male,0.123642108,0.876357892
42,female,0.110467438,0.889532562
42,male,0.123467126,0.876532874
43,female,0.113135187,0.886864813
43,male,0.123292357,0.876707643
44,female,0.11585897,0.88414103
44,male,0.123117801,0.876882199
45,female,0.118639557,0.881360443
45,male,0.122943457,0.877056543
46,female,0.119237548,0.880762452
46,male,0.121673081,0.878326919
47,female,0.119838143,0.880161857
47,male,0.12041403,0.87958597
48,female,0.12044135,0.87955865
48,male,0.11916624,0.88083376
49,female,0.121047176,0.878952824
49,male,0.117929647,0.882070353
50,female,0.121655627,0.878344373
50,male,0.116704185,0.883295815
51,female,0.118943383,0.881056617
51,male,0.116473513,0.883526487
52,female,0.116283601,0.883716399
52,male,0.116243235,0.883756765
53,female,0.113675623,0.886324377
53,male,0.116013354,0.883986646
54,female,0.111118781,0.888881219
54,male,0.115783867,0.884216133
55,female,0.108612401,0.891387599
55,male,0.115554776,0.884445224
56,female,0.105252567,0.894747433
56,male,0.113508095,0.886491905
57,female,0.101984776,0.898015224
57,male,0.111493095,0.888506905
58,female,0.098807237,0.901192763
58,male,0.109509447,0.890490553
59,female,0.095718148,0.904281852
59,male,0.107556818,0.892443182
60,female,0.092715699,0.907284301
60,male,0.105634877,0.894365123
61,female,0.087438722,0.912561278
61,male,0.100201973,0.899798027
62,female,0.082434799,0.917565201
62,male,0.095018802,0.904981198
63,female,0.077692859,0.922307141
63,male,0.090076903,0.909923097
64,female,0.073201931,0.926798069
64,male,0.085367784,0.914632216
65,female,0.068951188,0.931048812
65,male,0.080882969,0.919117031
66,female,0.064207209,0.935792791
66,male,0.075971626,0.924028374
67,female,0.059768672,0.940231328
67,male,0.071335361,0.928664639
68,female,0.055618727,0.944381273
68,male,0.066961526,0.933038474
69,female,0.051741071,0.948258929
69,male,0.062837721,0.937162279
70,female,0.048119985,0.951880015
70,male,0.058951834,0.941048166
71,female,0.045103424,0.954896576
71,male,0.053694125,0.946305875
72,female,0.042267569,0.957732431
72,male,0.048880976,0.951119024
73,female,0.039602622,0.960397378
73,male,0.044478998,0.955521002
74,female,0.03709919,0.96290081
74,male,0.040456579,0.959543421
75,female,0.034748284,0.965251716
75,male,0.036783921,0.963216079
76,female,0.03213302,0.96786698
76,male,0.033418185,0.966581815
77,female,0.02970853,0.97029147
77,male,0.030350711,0.969649289
